station_naptan,naptan_id,ics_code,name,zone,lat,lon,modes
,HUBWIM,1000272,Wimbledon,3,51.421505,-0.206444,bus;national-rail;tram;tube
940GZZLUWIP,4900ZZLUWIP1,1000273,Wimbledon Park,3,51.43462,-0.19962,tube
940GZZCRWMB,9400ZZCRWMB,1000272,Wimbledon Tram Stop,3,51.421051,-0.205816,tram
940GZZLUWIM,9400ZZLUWIM,1000272,Wimbledon Underground Station,3,51.421207,-0.206573,tube
940GZZLUWOG,4900ZZLUWOG1,1000275,Wood Green Station,3,51.5973,-0.10997,tube
940GZZLUWLA,4900ZZLUWLA1,1000278,Wood Lane,2,51.50967,-0.2245,tube
940GZZLUWOF,4900ZZLUWOF1,1000274,Woodford Station,4,51.60744,0.03359,tube
940GZZCRWOD,4900ZZCRWOD0,1002086,Woodside,,51.38732,-0.06458,tram
940GZZLUWOP,4900ZZLUWOP1,1000276,Woodside Park Station,4,51.61795,-0.18516,tube
,HUBWWA,1001344,Woolwich Arsenal,,51.489962,0.06917,bus;dlr;national-rail
940GZZDLWLA,4900ZZDLWLA1,1003000,Woolwich Arsenal DLR,4,51.49079,0.06854,dlr
930GWWC,4900WWC0,1015592,Woolwich Ferry North Pier,,51.49777,0.06079,river-bus
930GWWS,4900WWS0,1015593,Woolwich Ferry South Pier,,51.49515,0.06204,river-bus
930GWAS,4900WAS0,1016784,Woolwich Royal Arsenal Pier,,51.49517,0.07053,river-bus
